Project,,Project Description,,Project Link,,Forks,,Stars,,ISSUE ID,,ISSUE Description,,ISSUE Create Time,,Fix time,,Fix vision,,Commit ID,
quickfix-j/quickfixj,,"QuickFIX/J is a full featured messaging engine for the FIX protocol (FIX versions 4.0 - 5.0SP2/FIXT1.1 and FIXLatest). It is a 100% Java open source implementation of the popular C++ QuickFIX engine.

The Financial Information eXchange (FIX) protocol is a messaging standard developed specifically for the real-time electronic exchange of securities transactions. FIX is a public-domain specification owned and maintained by FIX Protocol, Ltd (FPL).",,https://github.com/quickfix-j/quickfixj,,661,,1.1k,,#1137,,Memory leak due to unbounded StringBuilder reuse in Message.class ThreadLocal,,2026.2.11,,2026.3.10,,3.0.1,,43ecb40,
redis/redis-om-spring,,"Redis OM Spring provides powerful repository and custom object-mapping abstractions built on top of the Spring Data Redis (SDR) framework.

",,https://github.com/redis/redis-om-spring,,104,,648,,#718,,[Bug] ThreadLocal Context Pollution: Exposed setContext in RedisIndexContext risks cross-tenant data overwriting,,2026.2.21,,2026.3.10,,N/A,,6a5b266,
ben-manes/caffeine,,"Caffeine is a high performance, near optimal caching library. For more details, see our user's guide and browse the API docs for the latest release.",,https://github.com/ben-manes/caffeine,,1.7k,,17.6k,,#1944,,[Bug]: Severe ClassLoader Pinning and Context Pollution via nullBulkLoad ThreadLocal,,2026.3.2,,2026.3.3,,N/A,,f29c1cf,
apache/karaf,,"Apache Karaf is a modulith runtime, supporting several frameworks and programming model (REST/API, web, spring boot, ...). It provides turnkey features that you can directly leverage without effort, packaged as mutable or immutable application.",,https://github.com/apache/karaf,,663,,708,,#2278,,ClassLoader leak and "Zombie Bundles" caused by static ThreadLocals in XmlUtils,,2026.2.10,,N/A,,N/A,,N/A,
micrometer-metrics/micrometer,,An application metrics facade for the most popular monitoring tools. Instrument your code with dimensional metrics with a vendor neutral interface and decide on the monitoring backend at the last minute.,,https://github.com/micrometer-metrics/micrometer,,1.1k,,4.8k,,#7184,,ClassLoader leak (Metaspace OOM) caused by static ThreadLocals in DoubleFormat,,2026.2.11,,N/A,,N/A,,N/A,
neo4j/neo4j-ogm,,"Neo4j-OGM is a fast object-graph mapping library for Neo4j, optimised for server-based installations utilising Cypher.

It aims to simplify development with the Neo4j graph database and like JPA, it uses annotations on simple POJO domain objects.",,https://github.com/neo4j/neo4j-ogm,,166,,356,,#1395,,ClassLoader leak (Metaspace OOM) due to static ThreadLocal in DefaultParameterConversion enum,,2026.2.11,,2026.2.23,,5.0.3,,8f7b220,
Azure/azure-sdk-for-java,,"This repository is for active development of the Azure SDK for Java. For consumers of the SDK we recommend visiting our public developer docs or our versioned developer docs.

",,https://github.com/Azure/azure-sdk-for-java,,2.2k,,2.6k,,#48018,,[BUG]Potential Memory Leak: Static ThreadLocal<Collator> in StorageSharedKeyCredential is never cleaned up,,2026.2.17,,2026.2.19,,N/A,,582869e,
togglz/togglz,,"Togglz is an implementation of the Feature Toggles pattern for Java. Feature Toggles are a very common agile development practices in the context of continuous deployment and delivery. The basic idea is to associate a toggle with each new feature you are working on. This allows you to enable or disable these features at application runtime, even for individual users.",,https://github.com/togglz/togglz,,261,,1k,,#1344,,[BUG] ClassLoader Leak / Metaspace OOM: ThreadLocalUserProvider.release() incorrectly uses set(null) instead of remove(),,2026.2.18,,2026.2.21,,N/A,,7ffbec0,
vsilaev/tascalate-javaflow,,"This project contains libary, tools and examples to develop Java applications using continuations.",,https://github.com/vsilaev/tascalate-javaflow,,7,,89,,#15,,[BUG] ClassLoader Leak / Metaspace OOM: Unmanaged static ThreadLocal (threadMap) in StackRecorder,,2026.2.19,,2026.3.10,,2.8.2,,N/A,
spotify-web-api-java/spotify-web-api-java,,"Spotify has a history of pushing considerable breaking changes to their API and documentation without prior notice. Additionally, Spotify is known for not responding to developers' inquiries.
This can suddenly render development on top of their platform useless, reportedly putting university projects and job applications at risk. Be encouraged to share your feedback with Spotify on a platform of your choice.",,https://github.com/spotify-web-api-java/spotify-web-api-java,,289,,1.1k,,#450,,[Bug] Memory Leak (Unmanaged ThreadLocal) in SpotifyApi via SIMPLE_DATE_FORMAT,,2026.2.20,,2026.2.20,,N/A,,09d6053,
LWJGL/lwjgl3,,"LWJGL (https://www.lwjgl.org) is a Java library that enables cross-platform access to popular native APIs useful in the development of graphics (OpenGL/Vulkan), audio (OpenAL) and parallel computing (OpenCL) applications. This access is direct and high-performance, yet also wrapped in a type-safe and user-friendly layer, appropriate for the Java ecosystem.

LWJGL is an enabling technology and provides low-level access. It is not a framework and does not provide higher-level utilities than what the native libraries expose. As such, novice programmers are encouraged to try one of the frameworks or game engines that make use of LWJGL, before working directly with the library.

LWJGL is open source software and freely available at no charge.",,https://github.com/LWJGL/lwjgl3,,688,,5.3k,,#1109,,Potential Direct Memory Leak: Missing ThreadLocal.remove() for MemoryStack causes off-heap memory exhaustion in thread pools,,2026.2.21,,N/A,,N/A,,N/A,
DataDog/java-dogstatsd-client,,A DogStatsD client library implemented in Java. Allows for Java applications to easily communicate with the DataDog Agent. The library supports Java 1.7+.,,https://github.com/DataDog/java-dogstatsd-client,,107,,185,,#292,,Potential ClassLoader Leak: Anonymous inner classes in ThreadLocals pin WebappClassLoader leading to Metaspace OOM,,2026.2.21,,N/A,,N/A,,N/A,
seasarorg/dbflute,,"Official site
http://dbflute.seasar.org/",,https://github.com/seasarorg/dbflute,,6,,22,,#8,,[Bug] Severe Context Pollution and Privilege Escalation Risk via Unmanaged ThreadLocal in AccessContext,,2026.2.20,,2026.2.22,,1.3.2,,d7e936a,
apache/poi,,"A Java library for reading and writing Microsoft Office binary and OOXML file formats.

",,https://github.com/apache/poi,,821,,2.2k,,#1015,,[Security/Bug] Clear-text Password Leak in Server Environments via Unmanaged ThreadLocal in Biff8EncryptionKey,,2026.2.20,,2026.3.5,,6.0.0,,811eb4a,
influxdata/influxdb-java,,"This is the official (and community-maintained) Java client library for InfluxDB (1.x), the open source time series database that is part of the TICK (Telegraf, InfluxDB, Chronograf, Kapacitor) stack.",,https://github.com/influxdata/influxdb-java,,473,,1.2k,,#1019,,[Bug] Memory Leak (Old Gen Exhaustion) via ThreadLocal StringBuilder in Point.java,,2026.2.22,,2026.2.26,,N/A,,455ee29,
mybatis/redis-cache,,"MyBatis-Redis extension Redis support for MyBatis Cache.

",,https://github.com/mybatis/redis-cache,,212,,407,,#351,,[BUG] KryoSerializer static ThreadLocal leads to ClassLoader Pinning / Metaspace Leak,,2026.2.21,,2026.3.8,,N/A,,649760b,
apache/bookkeeper,,"Apache BookKeeper is a scalable, fault-tolerant and low latency storage service optimized for append-only workloads.",,https://github.com/apache/bookkeeper,,962,,2k,,#4714,,[Cleanup]: Remove unnecessary ThreadLocal StringBuilder in LegacyHierarchicalLedgerManager,,2026.3.2,,N/A,,N/A,,N/A,
crotwell/seisFile,,"SeisFile is a library for reading and writing seismic file formats in java. See the examples for example clients and more information. Copies of the relevant specifications, and some previous versions are archived here for easy reference.",,https://github.com/crotwell/seisFile,,20,,35,,#41,,ClassLoader leak / Metaspace OOM caused by static ThreadLocal in DataRecord,,2026.2.11,,2026.2.17,,N/A,,6380f1b,
apache/iceberg,,"Iceberg is a high-performance format for huge analytic tables. Iceberg brings the reliability and simplicity of SQL tables to big data, while making it possible for engines like Spark, Trino, Flink, Presto, Hive and Impala to safely work with the same tables, at the same time.",,https://github.com/apache/iceberg,,3.1k,,8.7k,,#15284,,ThreadLocal capacity leak in CommitMetadata due to improper cleanup,,2026.2.10,,2026.3.9,,N/A,,7c210d3,
cadence-workflow/cadence-java-client,,"Cadence is a distributed, scalable, durable, and highly available orchestration engine we developed at Uber Engineering to execute asynchronous long-running business logic in a scalable and resilient way.",,https://github.com/cadence-workflow/cadence-java-client,,121,,148,,#1047,,Potential ThreadLocal leak in POJOLocalActivityImplementation due to exception before try-finally,,2026.2.10,,N/A,,N/A,,N/A,
reportportal/client-java,,reportportal/client-java,,https://github.com/reportportal/client-java,,29,,25,,#314,,Memory Leak and ThreadLocal Pollution in LoggingContext due to improper cleanup mechanisms,,2026.2.10,,N/A,,N/A,,N/A,
duzechao/OKHttpUtils,,依赖于okhttp，修改了小部分的okhttp源码，将Cache的部分方法改成public来查询缓存,,https://github.com/duzechao/OKHttpUtils,,82,,286,,#10,,ClassLoader/Context leak caused by static ThreadLocal in HttpDate,,2026.2.10,,N/A,,N/A,,N/A,
cglib/cglib,,"Byte Code Generation Library is high level API to generate and transform JAVA byte code. It is used by AOP, testing, data access frameworks to generate dynamic proxy objects and intercept field access.",,https://github.com/cglib/cglib,,886,,4.9k,,#232,,ClassLoader leak and context pollution due to improper ThreadLocal cleanup in AbstractClassGenerator,,2026.2.10,,N/A,,N/A,,N/A,
beanshell/beanshell,,"BeanShell is a small, free, embeddable Java source interpreter written in Java with object scripting language features. BeanShell executes standard Java syntax dynamically and extends it with common scripting conveniences such as loose types, commands, and method closures like those in Perl and JavaScript.

You can use BeanShell interactively for Java experimentation and debugging as well as to extend your applications in new ways. Scripting Java lends itself to various applications, including rapid prototyping, user scripting extension, rules engines, configuration, testing, dynamic deployment, embedded systems, and Java education.

BeanShell is small and embeddable, so you can call BeanShell from your Java applications to execute Java code dynamically at run-time or to provide extensibility in your applications. Alternatively, you can use standalone BeanShell scripts to work with Java objects and APIs to manipulate Java applications dynamically. Since BeanShell is written in Java and runs in the same VM as your application, you can freely pass references to ""live"" objects into scripts and return them as results.

",,https://github.com/beanshell/beanshell,,184,,930,,#785,,ThreadLocal pollution in Interpreter.DEBUG causes persistent debug mode and performance degradation,,2026.2.10,,N/A,,N/A,,N/A,
Netflix/Hystrix,,"Hystrix is no longer in active development, and is currently in maintenance mode.",,https://github.com/Netflix/Hystrix,,4.7k,,24.5k,,#2117,,ThreadLocal pollution in HystrixTimer causing metric attribution errors due to unsafe thread reuse ,,2026.2.10,,N/A,,N/A,,N/A,
Blankj/AndroidUtilCode,,"AndroidUtilCode 🔥 is a powerful & easy to use library for Android. This library encapsulates the functions that commonly used in Android development which have complete demo and unit test. By using it's encapsulated APIs, you can greatly improve the development efficiency. The program mainly consists of two modules which is utilcode, which is commonly used in development, and subutil which is rarely used in development, but the utils can be beneficial to simplify the main module. 🔥

",,https://github.com/Blankj/AndroidUtilCode,,10.7k,,33.7k,,#1848,,NumberUtils formatting fails to update on system language change due to static ThreadLocal caching,,2026.2.11,,N/A,,N/A,,N/A,
square/reader-sdk-flutter-plugin,,"Square Reader SDK lets developers embed the Square checkout flow and accept in-person payments in custom apps using Square Readers. The SDK supports authorization, transaction processing, and Reader management.

",,https://github.com/square/reader-sdk-flutter-plugin,,31,,89,,#122,,Memory leak caused by static ThreadLocal in DateFormatUtils,,2026.2.11,,N/A,,N/A,,N/A,
jitsi/jitsi-utils,,"This project contains a set of basic Java utilities used in Jitsi projects.

The aim is to reduce the interdependency between the different Jitsi projects. For example, we used to place code which needed to be shared between ice4j, libjitsi and jitsi-media-transform in ice4j. This was not great, because neither libjitsi nor jitsi-media-transform need to depend on ice4j.

This project's external dependencies should be kept to a minimum, and it should NOT depend on any other Jitsi project.",,https://github.com/jitsi/jitsi-utils,,38,,19,,#155,,Static ThreadLocals in TimeUtils cause ClassLoader leaks and inhibit hot-swapping,,2026.2.11,,N/A,,N/A,,N/A,
h2database/h2database,,"More information: https://h2database.com

",,https://github.com/h2database/h2database,,1.3k,,4.6k,,#4326,,Security Vulnerability: Connection hijacking possible via uncleaned static ThreadLocal,,2026.2.11,,N/A,,N/A,,N/A,
apache/shiro,,"Apache Shiro is a powerful and easy-to-use Java security framework that performs authentication, authorization, cryptography, and session management. With Shiro’s easy-to-understand API, you can quickly and easily secure any application – from the smallest mobile applications to the largest web and enterprise applications.

",,https://github.com/apache/shiro,,2.3k,,4.4k,,#2560,,ThreadContext state pollution causes Identity Leak / Privilege Escalation in thread pools,,2026.2.11,,N/A,,N/A,,N/A,
dcm4che/dcm4che,,dcm4che uses a native library for the compression and decompression of images. Here is the list of supported systems and architectures:,,https://github.com/dcm4che/dcm4che,,691,,1.4k,,#1560,,ClassLoader Leak / Metaspace OOM due to uncleaned static ThreadLocal in SpecificCharacterSet,,2026.2.18,,N/A,,N/A,,N/A,
karatelabs/karate,,"The open-source tool that combines API testing, mocks, performance testing, and UI automation into a single, unified framework.",,https://github.com/karatelabs/karate,,2k,,8.8k,,#2745,,[BUG] Severe Memory & Data Leak: Unmanaged static ThreadLocal in ScenarioEngine,,2026.2.18,,N/A,,N/A,,N/A,
scanban/traceragent,,scanban/traceragent,,https://github.com/scanban/traceragent,,0,,1,,#1,,[BUG] ClassLoader Leak / Metaspace OOM: Uncleaned static ThreadLocal in MethodCallProcessor,,2026.2.19,,N/A,,N/A,,N/A,
eclipse-ee4j/glassfish,,Eclipse GlassFish is a Jakarta EE compatible implementation sponsored by the Eclipse Foundation.,,https://github.com/eclipse-ee4j/glassfish,,170,,435,,#25932,,[BUG] ClassLoader Leak (Metaspace OOM) due to Unmanaged ThreadLocal in SerialContext ,,2026.2.19,,N/A,,N/A,,N/A,
apache/ignite,,Apache Ignite is a distributed database for high-performance computing with in-memory speed.,,https://github.com/apache/ignite,,1.9k,,5.1k,,#12771,,[BUG] ClassLoader Leak / Metaspace OOM: Unmanaged static ThreadLocal<Cipher> in KeystoreEncryptionSpi ,,2026.2.19,,N/A,,N/A,,N/A,
glowroot/glowroot,,glowroot/glowroot,,https://github.com/glowroot/glowroot,,333,,1.3k,,#1162,,[Bug] Severe ClassLoader Leak (Metaspace OOM) caused by unmanaged FastThreadLocal in Servlet Containers,,2026.2.20,,N/A,,N/A,,N/A,
elastic/ecs-logging-java,,Centralized logging for Java applications with the Elastic stack made easy,,https://github.com/elastic/ecs-logging-java,,78,,149,,#381,,Potential Memory Leak: Unbounded StringBuilder retention via ThreadLocal in EcsJsonSerializer,,2026.2.21,,N/A,,N/A,,N/A,
apache/parquet-java,,"This repository contains a Java implementation of Apache Parquet

Apache Parquet is an open source, column-oriented data file format designed for efficient data storage and retrieval. It provides high performance compression and encoding schemes to handle complex data in bulk and is supported in many programming languages and analytics tools.

The parquet-format repository contains the file format specification.

Parquet uses the record shredding and assembly algorithm described in the Dremel paper to represent nested structures. You can find additional details about the format and intended use cases in our Hadoop Summit 2013 presentation

",,https://github.com/apache/parquet-java,,1.5k,,3k,,#3398,,[Bug] Potential ClassLoader Leak: ThreadLocal.withInitial lambda in Binary.java pins ClassLoader causing Metaspace OOM,,2026.2.21,,2026.3.16,,N/A,,0d862b1,
